account_id,amount,location,transaction_type,time_of_day,distance_from_home,is_fraud
1,2789.65,Mumbai,ATM,16,49.09,0
453,1720.85,Hyderabad,ATM,11,56.02,0
291,3575.82,Hyderabad,ATM,8,24.85,0
770,2761.48,Delhi,Online,12,27.32,0
48,50.07,Bangalore,POS,8,21.61,0
908,2889.22,Mumbai,POS,18,25.72,0
250,7607.32,Chennai,Online,19,33.69,0
824,51222.0,Delhi,Online,1,285.0,1
125,1583.91,Bangalore,POS,22,42.83,0
610,934.05,Bangalore,POS,22,49.35,0
929,5485.79,Mumbai,POS,21,31.03,0
770,4900.13,Delhi,POS,21,30.64,0
282,4476.18,Delhi,Online,14,104.84,0
915,1273.84,Mumbai,Online,13,27.69,0
157,678.54,Chennai,ATM,19,30.79,0
478,1778.69,Mumbai,ATM,18,27.06,0
599,43864.0,Chennai,ATM,15,347.0,1
400,2840.07,Bangalore,POS,23,51.36,0
920,2049.01,Mumbai,ATM,19,82.68,0
399,1216.03,Bangalore,POS,11,146.01,0
942,3887.0,Hyderabad,POS,6,32.86,0
607,1222.68,Chennai,Online,19,34.12,0
473,1339.61,Delhi,ATM,16,45.7,0
335,3429.71,Bangalore,ATM,19,6.36,0
84,550.38,Hyderabad,Online,17,65.74,0
71,670.46,Chennai,Online,13,52.82,0
21,2652.28,Mumbai,Online,21,52.29,0
578,37920.0,Delhi,Online,3,49.0,1
987,2529.54,Chennai,Online,15,29.27,0
27,58195.0,Delhi,POS,12,203.0,1
607,661.57,Mumbai,Online,15,17.69,0
615,2184.63,Hyderabad,Online,17,47.15,0
678,3083.36,Hyderabad,POS,16,38.04,0
431,5259.15,Chennai,ATM,17,62.69,0
849,2143.01,Mumbai,ATM,11,36.89,0
989,3555.11,Hyderabad,POS,21,35.69,0
846,3555.14,Delhi,ATM,13,202.64,0
89,3722.67,Bangalore,Online,20,66.78,0
685,4872.01,Chennai,ATM,16,42.57,0
218,1064.19,Delhi,ATM,14,47.95,0
719,328.48,Hyderabad,Online,22,1.84,0
88,553.91,Bangalore,ATM,23,14.09,0
708,8953.98,Bangalore,ATM,6,83.36,0
227,4068.78,Mumbai,ATM,17,70.64,0
544,594.2,Hyderabad,ATM,17,64.45,0
278,2202.84,Mumbai,Online,12,43.89,0
761,155.91,Mumbai,Online,12,43.98,0
284,201.1,Hyderabad,POS,15,20.82,0
853,2146.72,Mumbai,ATM,11,22.58,0
726,8441.83,Delhi,Online,7,41.7,0
715,52085.0,Delhi,Online,3,446.0,1
481,4085.43,Delhi,Online,7,19.32,0
883,24.64,Chennai,ATM,21,52.62,0
645,387.56,Mumbai,Online,15,4.26,0
255,3524.96,Bangalore,POS,13,53.29,0
390,1610.89,Bangalore,ATM,19,6.73,0
636,585.16,Chennai,Online,12,22.67,0
84,7306.36,Mumbai,POS,8,30.25,0
419,1792.65,Hyderabad,ATM,15,55.89,0
296,8376.47,Bangalore,Online,13,61.62,0
807,2568.11,Hyderabad,POS,12,14.21,0
558,5810.73,Mumbai,ATM,10,25.38,0
170,3341.46,Hyderabad,POS,15,48.73,0
480,790.79,Bangalore,ATM,22,7.02,0
449,7733.8,Chennai,ATM,16,41.22,0
27,1252.3,Hyderabad,POS,6,52.39,0
689,6907.23,Hyderabad,Online,11,61.51,0
668,689.87,Delhi,Online,19,16.54,0
504,26401.0,Delhi,POS,4,21.0,1
165,6333.82,Bangalore,ATM,18,61.79,0
564,5499.49,Chennai,ATM,14,10.51,0
994,954.53,Hyderabad,Online,23,33.11,0
56,2607.18,Delhi,POS,21,20.01,0
779,2219.41,Delhi,POS,10,9.27,0
449,2350.55,Bangalore,Online,6,43.11,0
624,6768.05,Mumbai,ATM,23,51.89,0
418,8409.1,Chennai,ATM,9,87.6,0
158,1554.64,Delhi,POS,14,39.42,0
495,39967.0,Bangalore,Online,4,391.0,1
521,2852.98,Mumbai,Online,14,21.13,0
875,1385.63,Hyderabad,ATM,6,14.65,0
306,241.91,Hyderabad,POS,21,52.48,0
458,3081.05,Delhi,ATM,23,24.65,0
387,4708.8,Delhi,Online,13,25.36,0
240,4448.59,Bangalore,Online,16,41.48,0
723,27651.0,Chennai,Online,2,31.0,1
605,496.99,Chennai,ATM,9,18.01,0
468,4251.88,Mumbai,ATM,10,40.52,0
801,35422.0,Chennai,ATM,4,41.0,1
880,1947.3,Delhi,POS,21,15.87,0
37,5842.99,Mumbai,POS,15,19.58,0
765,3651.29,Chennai,POS,9,0.11,0
711,1356.96,Chennai,Online,16,64.94,0
301,4486.25,Bangalore,Online,13,50.68,0
580,5926.44,Mumbai,Online,11,11.05,0
892,4055.86,Mumbai,ATM,10,5.51,0
654,2982.5,Delhi,POS,6,3.49,0
477,53910.0,Delhi,ATM,5,37.0,1
602,2300.99,Bangalore,POS,14,39.76,0
310,464.66,Bangalore,ATM,9,114.62,0
586,1028.05,Delhi,POS,15,50.71,0
850,5484.33,Delhi,Online,7,49.58,0
764,3882.36,Delhi,Online,17,41.42,0
195,1973.26,Mumbai,POS,9,34.86,0
662,2237.41,Bangalore,Online,17,23.86,0
93,39493.0,Mumbai,Online,4,11.0,1
898,52442.0,Delhi,Online,8,425.0,1
845,39463.0,Bangalore,Online,3,7.0,1
990,4935.36,Bangalore,POS,17,2.65,0
405,486.49,Hyderabad,Online,20,6.07,0
767,3248.79,Hyderabad,ATM,17,18.19,0
240,476.66,Hyderabad,POS,16,22.18,0
227,2744.9,Bangalore,POS,15,15.35,0
120,596.89,Chennai,ATM,21,21.6,0
241,2354.25,Mumbai,ATM,20,60.37,0
973,165.33,Hyderabad,ATM,10,0.67,0
671,2942.72,Bangalore,POS,19,83.77,0
287,4582.98,Delhi,Online,20,2.0,0
242,1952.95,Chennai,POS,17,40.13,0
661,1954.46,Bangalore,ATM,12,4.43,0
972,2978.16,Bangalore,Online,12,31.36,0
612,35928.0,Hyderabad,Online,4,312.0,1
784,3568.04,Hyderabad,Online,13,86.64,0
152,1683.72,Hyderabad,Online,14,30.09,0
149,44213.0,Delhi,POS,5,56.0,1
135,4080.43,Mumbai,POS,16,10.06,0
272,2682.28,Bangalore,POS,9,10.63,0
488,2303.03,Delhi,POS,9,28.65,0
227,48830.0,Hyderabad,ATM,21,450.0,1
988,2083.53,Bangalore,ATM,19,34.9,0
503,6363.43,Bangalore,Online,8,57.96,0
152,8469.55,Delhi,POS,23,28.37,0
391,45663.0,Delhi,POS,14,258.0,1
813,4626.96,Hyderabad,POS,12,19.17,0
910,8579.41,Delhi,ATM,18,30.41,0
98,529.17,Delhi,POS,14,19.97,0
157,4381.69,Bangalore,Online,8,16.29,0
96,287.4,Delhi,Online,23,17.52,0
980,3035.27,Delhi,POS,9,103.81,0
895,4861.27,Bangalore,POS,7,18.85,0
615,705.24,Chennai,POS,22,34.6,0
673,1970.7,Chennai,ATM,23,101.57,0
781,5548.32,Mumbai,ATM,23,13.46,0
839,3149.4,Hyderabad,Online,14,77.69,0
280,1666.38,Delhi,ATM,17,71.89,1
891,2793.28,Bangalore,Online,10,19.97,0
996,2025.73,Hyderabad,Online,18,12.35,0
350,659.8,Delhi,POS,16,41.14,0
582,1212.86,Chennai,Online,11,2.88,0
51,2370.89,Delhi,ATM,19,35.72,0
453,4144.84,Mumbai,POS,9,46.23,0
114,2612.34,Hyderabad,ATM,22,73.88,0
47,3006.94,Hyderabad,Online,6,27.42,0
969,6663.46,Mumbai,ATM,15,15.78,0
8,5547.89,Bangalore,Online,10,13.38,0
721,8192.24,Hyderabad,POS,17,97.77,0
883,1263.11,Bangalore,Online,20,58.58,0
883,3946.13,Bangalore,POS,18,78.43,0
428,904.77,Bangalore,Online,16,44.3,0
971,5185.27,Delhi,Online,19,77.94,0
250,1559.78,Bangalore,POS,8,91.96,0
318,1201.78,Mumbai,ATM,11,45.88,0
649,6517.07,Hyderabad,Online,17,13.7,0
982,6895.85,Mumbai,Online,9,59.01,0
203,3120.15,Mumbai,POS,8,7.22,0
792,3162.2,Bangalore,POS,20,8.37,0
904,4212.33,Hyderabad,ATM,16,5.54,0
70,1923.41,Delhi,ATM,7,43.48,0
76,3109.79,Bangalore,Online,7,36.99,0
294,468.4,Chennai,POS,22,42.96,0
595,1821.96,Chennai,ATM,12,57.76,0
488,967.18,Chennai,ATM,9,35.2,0
858,419.23,Chennai,POS,11,29.64,0
725,1688.91,Bangalore,POS,22,41.76,0
373,349.05,Delhi,ATM,19,49.89,0
696,7904.18,Delhi,Online,16,11.76,0
695,109.18,Delhi,POS,10,20.7,0
597,1673.02,Delhi,ATM,18,1.05,0
726,33314.0,Delhi,Online,4,41.0,1
849,53248.0,Delhi,POS,2,330.0,1
371,3852.5,Delhi,Online,12,47.88,0
785,418.5,Mumbai,Online,10,18.79,0
865,1184.84,Hyderabad,POS,22,105.1,0
345,2555.57,Hyderabad,Online,18,78.34,0
186,6944.9,Hyderabad,Online,20,2.45,0
374,3739.67,Mumbai,ATM,15,25.56,0
803,11246.64,Hyderabad,Online,15,65.98,0
804,1626.25,Mumbai,ATM,20,37.78,0
289,2829.34,Hyderabad,POS,19,20.17,0
837,279.05,Hyderabad,Online,14,61.11,0
493,70.28,Hyderabad,Online,22,44.08,0
292,7071.42,Mumbai,ATM,20,54.08,0
151,1986.08,Chennai,Online,20,84.0,0
953,2242.1,Chennai,ATM,22,33.06,0
396,22357.0,Chennai,POS,1,20.0,1
811,6579.37,Chennai,ATM,21,36.95,0
143,1121.74,Bangalore,ATM,6,0.48,0
20,636.85,Mumbai,POS,22,59.14,0
795,4788.53,Delhi,Online,7,105.47,0
655,2205.7,Bangalore,Online,9,38.15,0
512,58.07,Chennai,POS,22,14.36,0
736,232.82,Bangalore,Online,17,33.2,0
427,2155.56,Chennai,POS,17,31.55,0
539,2821.37,Hyderabad,POS,6,7.49,0
482,1293.16,Bangalore,ATM,14,35.38,0
366,279.69,Delhi,Online,9,47.77,0
753,3512.75,Mumbai,Online,17,38.88,0
834,2308.0,Bangalore,POS,21,47.57,0
831,3018.22,Bangalore,Online,15,37.17,0
811,22.13,Chennai,ATM,15,38.53,0
835,299.78,Delhi,Online,12,80.24,0
883,2892.63,Delhi,ATM,9,12.4,0
448,2789.17,Bangalore,ATM,16,35.22,0
509,3925.78,Delhi,POS,14,73.08,0
745,1811.76,Bangalore,POS,11,50.55,0
329,54.49,Delhi,POS,15,12.37,0
618,591.24,Mumbai,POS,20,9.23,0
44,5028.88,Delhi,POS,19,18.84,0
811,46993.0,Delhi,POS,12,413.0,1
696,4517.08,Chennai,Online,20,46.49,0
69,3599.41,Delhi,ATM,18,82.08,0
34,5424.93,Bangalore,ATM,17,29.84,0
79,3741.22,Hyderabad,ATM,18,0.15,0
286,3123.44,Chennai,Online,11,20.2,0
397,33577.0,Bangalore,Online,8,448.0,1
293,2269.77,Bangalore,Online,9,2.22,0
76,5513.35,Bangalore,Online,16,22.72,0
727,3022.81,Hyderabad,ATM,15,10.59,0
729,547.18,Mumbai,ATM,22,11.63,0
206,3193.36,Mumbai,ATM,6,11.05,0
587,2879.32,Hyderabad,Online,8,113.77,0
408,51684.0,Delhi,ATM,16,210.0,1
76,4623.37,Delhi,POS,8,6.3,0
697,5613.64,Mumbai,POS,11,10.4,0
133,4124.37,Chennai,Online,22,40.4,0
169,3622.38,Mumbai,ATM,22,7.58,0
867,2065.26,Mumbai,POS,23,93.82,0
641,2990.78,Hyderabad,Online,22,0.96,0
607,30609.0,Hyderabad,ATM,19,418.0,1
578,4498.22,Chennai,Online,7,100.56,0
790,2716.84,Mumbai,POS,19,48.54,0
32,2445.76,Hyderabad,ATM,15,67.19,0
825,3025.49,Bangalore,ATM,20,10.76,0
62,3908.35,Bangalore,ATM,20,123.53,0
622,2555.6,Delhi,POS,17,22.41,0
134,631.92,Hyderabad,POS,9,32.49,0
478,4501.01,Bangalore,Online,10,32.8,0
298,49701.0,Delhi,Online,7,492.0,1
957,2224.7,Delhi,Online,11,13.88,0
528,3446.94,Delhi,ATM,6,26.68,0
403,5122.62,Mumbai,Online,17,15.5,0
289,1200.38,Bangalore,ATM,23,38.94,1
111,677.12,Delhi,POS,17,28.87,0
375,4280.97,Chennai,POS,23,36.11,0
567,4618.82,Bangalore,POS,20,77.78,0
287,3250.3,Hyderabad,POS,9,103.84,0
100,331.37,Delhi,POS,17,52.23,0
204,3346.16,Bangalore,POS,7,84.8,0
141,3973.1,Bangalore,POS,20,7.22,0
915,2849.91,Delhi,POS,16,46.27,0
632,9347.26,Delhi,POS,16,16.46,0
522,2338.18,Hyderabad,ATM,21,46.29,0
378,3453.03,Chennai,ATM,15,21.19,0
743,381.42,Chennai,POS,21,33.57,0
672,7656.07,Hyderabad,POS,13,77.27,0
598,6789.56,Hyderabad,POS,18,15.56,0
698,978.81,Hyderabad,POS,9,3.71,0
452,2177.17,Mumbai,ATM,12,64.71,0
794,3087.39,Bangalore,POS,7,86.48,0
532,1535.98,Delhi,POS,21,11.34,0
322,32469.0,Delhi,POS,3,34.0,1
739,1046.31,Delhi,POS,21,72.74,0
253,4479.51,Delhi,Online,15,13.67,0
722,1879.88,Bangalore,ATM,21,54.75,0
957,44960.0,Delhi,POS,9,62.0,1
389,1002.65,Bangalore,ATM,10,93.45,0
295,36349.0,Delhi,POS,14,486.0,1
207,1231.23,Delhi,POS,14,65.16,0
631,1272.77,Mumbai,Online,7,3.64,0
544,6100.66,Mumbai,Online,9,7.29,0
735,1317.2,Mumbai,Online,23,44.81,0
162,7556.87,Bangalore,ATM,12,66.33,0
295,1203.33,Chennai,Online,13,45.33,0
741,9730.08,Chennai,Online,19,12.96,0
181,38008.0,Mumbai,POS,15,451.0,1
949,2051.79,Chennai,Online,15,8.79,0
110,24324.0,Hyderabad,POS,4,41.0,1
962,2604.25,Hyderabad,ATM,14,2.78,0
116,289.01,Bangalore,POS,14,17.34,0
15,1911.74,Delhi,POS,12,17.17,0
877,148.54,Bangalore,ATM,22,15.32,0
411,1245.07,Mumbai,Online,21,85.2,0
255,5962.91,Bangalore,Online,20,64.58,0
977,5748.26,Hyderabad,POS,6,93.67,0
369,981.94,Chennai,POS,9,8.57,0
164,2232.54,Hyderabad,POS,15,28.89,0
655,27043.0,Mumbai,Online,5,14.0,1
466,1341.73,Hyderabad,ATM,19,97.61,0
935,4817.04,Hyderabad,POS,12,73.58,0
697,4175.02,Chennai,POS,20,46.45,0
371,436.44,Hyderabad,Online,7,34.47,0
925,1676.38,Hyderabad,POS,10,45.65,0
875,1289.02,Chennai,POS,12,8.74,0
501,4142.88,Hyderabad,ATM,7,32.21,0
526,927.1,Hyderabad,Online,23,67.97,0
827,1253.19,Chennai,ATM,14,40.8,0
764,3789.3,Chennai,Online,19,5.48,0
66,2988.4,Chennai,Online,21,52.56,0
419,4782.08,Mumbai,POS,19,0.75,0
913,441.83,Bangalore,ATM,8,62.45,0
678,123.03,Mumbai,POS,17,60.42,0
551,2679.89,Mumbai,POS,13,40.3,0
775,1851.29,Delhi,ATM,23,97.74,0
389,4255.79,Mumbai,ATM,17,94.82,0
194,39697.0,Delhi,POS,1,414.0,1
785,32886.0,Chennai,POS,2,302.0,1
613,2643.05,Chennai,Online,7,5.16,0
240,375.24,Chennai,Online,22,29.96,0
240,1897.1,Hyderabad,ATM,16,65.17,0
898,2352.68,Hyderabad,Online,19,17.52,0
63,919.16,Hyderabad,POS,11,7.15,0
438,2933.41,Chennai,ATM,18,75.51,0
327,2054.56,Bangalore,Online,15,47.16,0
773,2522.6,Mumbai,Online,15,0.8,0
148,2065.3,Chennai,POS,19,27.38,0
571,390.72,Bangalore,Online,14,28.92,0
663,2597.54,Bangalore,ATM,8,38.92,0
850,3234.76,Delhi,ATM,7,75.13,0
193,5097.47,Hyderabad,POS,23,33.63,0
214,2778.09,Delhi,ATM,6,59.13,0
195,49473.0,Mumbai,POS,15,443.0,1
210,7006.42,Mumbai,POS,16,60.72,0
390,3532.62,Delhi,ATM,14,53.98,0
904,135.54,Chennai,POS,21,11.3,0
328,25253.0,Hyderabad,Online,4,2.0,1
17,3562.98,Hyderabad,POS,19,26.29,0
201,2570.3,Bangalore,POS,13,27.77,0
671,23432.0,Bangalore,ATM,4,46.0,1
815,175.45,Mumbai,POS,23,60.33,0
939,779.7,Chennai,POS,7,57.58,0
77,37589.0,Delhi,Online,0,211.0,1
237,937.62,Mumbai,Online,12,62.68,0
383,858.2,Hyderabad,ATM,21,141.62,0
545,3489.95,Chennai,Online,22,19.24,0
549,41456.0,Bangalore,Online,22,458.0,1
99,585.07,Mumbai,Online,22,45.02,0
363,283.09,Bangalore,Online,17,16.1,0
471,9690.25,Mumbai,ATM,8,5.2,0
879,5457.82,Chennai,Online,18,25.16,0
566,1905.03,Chennai,POS,11,98.54,0
866,129.1,Delhi,POS,9,100.62,0
942,4133.26,Mumbai,POS,21,18.12,0
947,3907.22,Delhi,POS,7,58.63,0
871,3875.43,Mumbai,POS,10,68.51,0
730,191.41,Chennai,ATM,11,2.38,0
581,1786.7,Bangalore,POS,23,41.03,0
774,2543.1,Chennai,POS,17,56.77,0
448,3150.59,Chennai,ATM,18,40.53,0
335,3689.37,Delhi,ATM,21,64.04,0
567,21086.0,Bangalore,Online,5,42.0,1
303,4511.77,Chennai,Online,14,32.96,0
729,1799.5,Mumbai,POS,18,73.05,0
110,3298.85,Delhi,ATM,17,20.38,0
105,2824.74,Mumbai,ATM,20,53.84,0
525,1253.17,Chennai,Online,17,62.66,0
612,1891.33,Delhi,ATM,6,44.08,0
398,2094.96,Hyderabad,Online,22,11.49,0
390,4824.85,Delhi,ATM,14,15.8,0
65,2298.36,Delhi,ATM,15,13.11,0
79,706.51,Mumbai,POS,21,5.46,0
201,2676.4,Mumbai,ATM,6,13.94,0
341,5777.27,Bangalore,ATM,20,34.73,0
836,1449.39,Hyderabad,Online,15,11.99,0
971,6350.93,Bangalore,ATM,11,19.83,0
992,5105.53,Bangalore,POS,13,64.28,0
288,2811.15,Bangalore,ATM,9,54.48,0
205,2256.85,Hyderabad,Online,23,63.27,0
745,458.13,Mumbai,ATM,15,80.47,0
71,8906.69,Bangalore,POS,21,8.14,0
311,673.49,Mumbai,POS,19,82.67,0
76,6748.72,Hyderabad,ATM,18,16.14,0
946,49706.0,Delhi,ATM,17,18.0,1
832,749.44,Chennai,Online,13,4.09,0
364,2043.35,Hyderabad,Online,18,35.93,0
340,18471.0,Delhi,Online,1,6.0,1
532,1022.42,Hyderabad,Online,20,28.39,0
475,1905.95,Hyderabad,POS,22,21.71,0
26,6661.5,Delhi,ATM,8,39.92,0
964,4962.97,Delhi,ATM,16,0.7,0
212,1861.61,Delhi,ATM,9,43.74,0
714,1378.17,Chennai,ATM,7,29.12,0
118,2509.36,Delhi,POS,9,34.62,0
169,43992.0,Delhi,POS,16,89.0,1
574,2877.51,Bangalore,Online,18,132.77,0
191,96.78,Bangalore,ATM,6,16.55,0
905,140.58,Hyderabad,ATM,18,17.77,1
220,97.84,Chennai,POS,9,69.45,0
550,6271.51,Delhi,Online,20,18.54,0
687,507.07,Hyderabad,POS,16,33.57,0
626,353.33,Chennai,ATM,17,41.65,0
633,2618.77,Delhi,POS,8,65.79,0
321,6652.52,Delhi,Online,11,99.79,0
145,171.63,Bangalore,POS,10,9.39,0
434,2867.6,Hyderabad,POS,11,26.72,0
502,3985.63,Mumbai,ATM,20,110.51,0
887,1479.16,Chennai,ATM,10,29.91,0
394,57399.0,Delhi,POS,15,209.0,1
728,2147.96,Bangalore,Online,8,26.55,0
815,1910.62,Delhi,Online,14,99.73,0
296,457.17,Bangalore,POS,21,21.19,0
116,1960.73,Delhi,POS,17,69.42,0
775,9590.8,Bangalore,POS,12,16.54,0
105,541.68,Mumbai,ATM,7,62.21,0
357,4055.67,Chennai,ATM,9,102.34,0
243,3761.78,Hyderabad,POS,17,7.96,0
625,3781.96,Mumbai,POS,10,65.44,0
834,4471.45,Chennai,POS,17,35.36,0
612,5210.02,Delhi,POS,15,68.46,0
274,58259.0,Delhi,ATM,3,69.0,1
284,6156.48,Mumbai,POS,10,42.44,0
729,1508.65,Mumbai,POS,18,17.34,0
592,5629.53,Bangalore,ATM,20,30.85,0
814,3116.02,Chennai,ATM,22,9.67,0
712,29899.0,Hyderabad,Online,4,20.0,1
868,2096.23,Bangalore,POS,17,73.92,0
815,2583.3,Mumbai,ATM,12,12.32,0
331,2089.57,Delhi,POS,10,47.31,0
497,3946.45,Chennai,Online,9,118.16,0
857,1086.67,Chennai,Online,20,20.96,0
982,2758.15,Mumbai,POS,15,88.87,0
956,1724.11,Chennai,POS,17,23.95,0
381,3833.69,Mumbai,Online,18,19.33,0
744,670.7,Mumbai,ATM,8,19.7,0
2,5230.9,Chennai,Online,13,41.33,0
456,2408.91,Delhi,Online,19,25.01,0
490,5595.14,Bangalore,Online,9,66.16,0
377,333.23,Mumbai,ATM,10,28.86,0
694,6706.57,Hyderabad,POS,6,6.71,0
169,344.4,Mumbai,POS,10,104.06,0
631,2354.04,Mumbai,Online,9,99.94,0
127,3330.04,Bangalore,ATM,19,15.1,0
144,1073.7,Chennai,Online,23,45.42,0
739,2741.4,Chennai,POS,15,18.2,0
622,1850.91,Bangalore,ATM,7,53.62,0
813,27644.0,Bangalore,POS,1,15.0,1
541,3960.6,Chennai,ATM,16,5.04,0
882,7549.91,Bangalore,ATM,23,43.5,0
782,2586.58,Chennai,Online,8,24.6,0
221,1873.24,Chennai,ATM,22,22.17,0
730,1286.29,Bangalore,ATM,18,27.6,0
550,1764.62,Mumbai,ATM,8,82.19,0
524,42576.0,Hyderabad,POS,12,333.0,1
666,1763.55,Chennai,ATM,19,65.86,0
867,3038.18,Mumbai,Online,19,32.84,0
627,3719.3,Delhi,POS,11,32.39,0
725,3938.17,Chennai,Online,21,76.46,0
536,2599.56,Delhi,Online,17,45.45,0
800,1740.79,Chennai,Online,16,82.01,0
279,39.18,Delhi,POS,8,100.05,0
524,1889.53,Bangalore,POS,11,61.54,0
262,2394.31,Hyderabad,POS,9,24.05,0
522,4531.93,Chennai,Online,7,22.63,0
393,26158.0,Bangalore,Online,22,391.0,1
427,23888.0,Delhi,Online,1,36.0,1
924,671.45,Mumbai,POS,7,84.48,0
71,653.08,Delhi,ATM,16,111.19,0
468,2761.71,Mumbai,ATM,15,48.02,0
249,4367.4,Hyderabad,ATM,12,31.27,0
560,910.93,Mumbai,Online,6,7.61,0
25,1999.19,Delhi,POS,6,47.92,0
2,6520.19,Bangalore,POS,15,53.87,0
543,31122.0,Delhi,Online,1,9.0,1
238,1347.11,Hyderabad,ATM,17,11.34,0
766,2635.15,Chennai,POS,10,92.09,0
404,1268.47,Hyderabad,Online,19,24.1,0
134,1014.86,Delhi,ATM,18,4.06,0
754,7403.06,Bangalore,ATM,13,42.04,0
208,296.46,Hyderabad,Online,10,38.63,0
461,6208.07,Bangalore,Online,23,56.23,0
789,2188.89,Delhi,ATM,14,22.35,0
93,4104.67,Delhi,POS,7,29.67,0
878,4695.58,Chennai,POS,13,41.76,0
406,5158.66,Delhi,ATM,11,16.76,0
415,5962.18,Hyderabad,POS,23,19.88,0
474,8235.78,Mumbai,Online,6,24.46,0
800,31492.0,Delhi,POS,12,460.0,1
661,7217.89,Hyderabad,ATM,8,19.9,0
67,55.75,Bangalore,Online,8,14.19,0
850,1048.96,Chennai,Online,20,31.21,0
947,3578.51,Bangalore,ATM,6,18.69,0
437,1936.94,Mumbai,Online,14,117.11,0
905,7192.63,Hyderabad,POS,13,31.82,0
511,2124.01,Hyderabad,ATM,7,16.0,0
393,3850.55,Mumbai,POS,22,41.14,0
822,1237.87,Chennai,ATM,17,73.43,0
801,3207.67,Hyderabad,POS,16,42.36,0
185,560.44,Hyderabad,Online,6,88.7,0
798,1687.3,Bangalore,POS,17,63.22,0
239,33121.0,Delhi,POS,7,418.0,1
940,2683.36,Mumbai,POS,18,62.35,0
860,30770.0,Delhi,POS,18,310.0,1
936,7061.78,Delhi,POS,10,12.94,0
193,5246.04,Bangalore,POS,15,8.07,0
39,1492.12,Mumbai,POS,13,54.18,0
